Body_Cleaned,Label
melbourne dwelling value surpassed earlier april  peak  according corelogics daily hedonic home value index tim lawless corelogics executive research director say matter time,1.0
strong capital gain housing value led australia second largest city move new record high reflecting saw sydney earlier month melbourne dwelling value surpassed previous peak notch new record high following decline  covid value since grown  sitting ,1.0
  region measured saw rate profit making sale  december quarter geelong  mid north coast  newcastle lake macquarie region  richmond tweed region also  sunshine coast  across greater melbourne rate profit making sale increased significantly   month,1.0
resale december quarter rose  billion  billion previous quarter combined loss resale also shrank  billion  billion september december quarter result particularly significant given uplift sale volume  month december much driven increase transaction activity across melbourne sale listing increased remarkably across city economy emerged weakness associated,1.0
  region measured saw rate profit making sale  december quarter geelong  mid north coast  newcastle lake macquarie region  richmond tweed region also  sunshine coast  across greater melbourne rate profit making sale increased significantly   month,1.0
lending standard suggesting need intervention form tighter credit policy december  quarter particular importance mark positive turn sydney melbourne dwelling value coming covidrelated restriction select metric publication discussed share interest loan portion,1.0
lending standard suggesting need intervention form tighter credit policy december  quarter particular importance mark positive turn sydney melbourne dwelling value coming covidrelated restriction select metric publication discussed share interest loan portion,1.0
owner looking participate housing market value rise faster income say mr lawless according corelogics daily hedonic home value index melbourne dwelling value remain  precovid high perth value still  lower relative ,1.0
corelogic today announced sydney property value recovered beyond earlier  peak tim lawless corelogics executive research director say he surprised recent strong capital,1.0
tim lawless synchronised growth phase like hasnt seen australia decade last time saw sustained period every capital city rest state region rising value mid early  postgfc stimulus fueled buyer demand sydney melbourne among strongest performing market recording   lift home value month respectively australia two largest city caught weaker performance  quarterly trend however still favouring smaller city darwin housing value rose ,1.0
tim lawless synchronised growth phase like hasnt seen australia decade last time saw sustained period every capital city rest state region rising value mid early  postgfc stimulus fueled buyer demand sydney melbourne among strongest performing market recording   lift home value month respectively australia two largest city caught weaker performance  quarterly trend however still favouring smaller city darwin housing value rose ,1.0
throughout victoria highrisk area melbourne outskirt particularly north city part victoria face moderate high bushfire risk risk highest around melbourne northeast melbourne yarra range ballarat border lerderderg wombat state park great otway national park flood risk significant swan hill echuca shepparton due murray river flat,2.0
