Index,Title,Place_Tag,Relevant_Body2,Label
1,Melbourne property values regain COVID loss and surpass previous record,VIC,"Melbourne dwelling values have surpassed their earlier April 2020 peak by 0.2%, according to CoreLogicâ€™s daily hedonic home value index. Tim Lawless, CoreLogicâ€™s Executive Research Director, says it had only been a matter of time before the",1
4,Melbourne property values regain COVID loss and surpass previous record,NSW," strong capital gains in housing values led Australiaâ€™s second largest city to move to new record highs. â€œReflecting what we saw in Sydney earlier this month, Melbourne dwelling values have now surpassed their previous peak to notch up a new record high. Following a decline of -6.1% through COVID-19, values have since grown by 6.7%, and are now sitting 0.2%",1
11,"Profitability in Australian dwellings rose over the December quarter, with Hobart coming in as the most profitable capital city",NSW," 5 of the 9 regions measured saw a rate of profit making sales about 95% through the December quarter. These were Geelong (98.5%), the Mid North Coast (96.3%), the Newcastle and Lake Macquarie region (96.7%), the Richmond â€“ Tweed region (also 96.7%) and the Sunshine Coast (96.3%). Across Greater Melbourne, the rate of profit making sales increased significantly from 93.0% in the 3 months",1
12,"Profitability in Australian dwellings rose over the December quarter, with Hobart coming in as the most profitable capital city",VIC," from resales in the December quarter rose to $31.9 billion, up from $24.8 billion in the previous quarter. Combined losses from resales also shrank from $1.2 billion to $1 billion from the September to December quarter.â€ The results are particularly significant given the uplift in sales volumes in the 3 months to December, much of which was driven by an increase in transaction activity across Melbourne. Sales and listings increased remarkably across the city, as the economy emerged from the weakness associated",1
16,"Profitability in Australian dwellings rose over the December quarter, with Hobart coming in as the most profitable capital city",QLD," 5 of the 9 regions measured saw a rate of profit making sales about 95% through the December quarter. These were Geelong (98.5%), the Mid North Coast (96.3%), the Newcastle and Lake Macquarie region (96.7%), the Richmond â€“ Tweed region (also 96.7%) and the Sunshine Coast (96.3%). Across Greater Melbourne, the rate of profit making sales increased significantly from 93.0% in the 3 months",1
19,"Housing lending may be cheap, but regulators argue it is not yet risky",VIC," in lending standards, suggesting there is no need for interventions in the form of tighter credit policies. The December 2020 quarter is of particular importance, because it marks a positive turn in Sydney and Melbourne dwelling values coming out of COVID-related restrictions. Select metrics from the publication are discussed below. The share of interest only loans as a portion of",1
22,"Housing lending may be cheap, but regulators argue it is not yet risky",NSW," in lending standards, suggesting there is no need for interventions in the form of tighter credit policies. The December 2020 quarter is of particular importance, because it marks a positive turn in Sydney and Melbourne dwelling values coming out of COVID-related restrictions. Select metrics from the publication are discussed below. The share of interest only loans as a portion of",1
25,Sydney property values reach new record high,VIC," owners looking to participate in the housing market as values rise faster than incomes,â€ says Mr Lawless. According to CoreLogicâ€™s daily hedonic home value index, Melbourne dwelling values remain -1.3% below their pre-COVID high and Perth values are still -16.9% lower relative to the 2014",1
26,Sydney property values reach new record high,NSW,"CoreLogic today announced Sydney property values have recovered to be beyond their earlier 2017 peak. Tim Lawless, CoreLogicâ€™s Executive Research Director, says heâ€™s not surprised that the recent strong capital",1
35,Momentum builds across Australian housing markets as values rise at the fastest rate in seventeen years,VIC," Tim Lawless, a synchronised growth phase like this hasnâ€™t been seen in Australia for more than a decade. â€œThe last time we saw a sustained period where every capital city and rest of state region was rising in value was mid-2009 through to early 2010, as post-GFC stimulus fueled buyer demand.â€ Sydney and Melbourne were among the strongest performing markets, recording a 2.5% and 2.1% lift in home values over the month respectively, as Australiaâ€™s two largest cities caught up from weaker performance through 2020. The quarterly trend however, is still favouring the smaller cities; Darwin housing values rose 5.5% over the",1
